rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
1481,Sezai Bacaksiz,2.1,74.0,Diversified ,Turkey,Diversified,Male,Turkey,Married,no data,no data,Self Made,Diversified ,,
1481,Nihat Ozdemir,2.1,73.0,Diversified ,Turkey,Diversified,Male,Turkey,Widowed,no data,no data,Self Made,Diversified ,,
1483,Julio Bozano,2.1,87.0,Banking,Brazil,Finance & Investments,Male,Brazil,Married,no data,no data,Self Made,Banking,,
1484,Dong Wei,2.1,52.0,Pharmaceuticals,China,Healthcare,Male,China,no data,no data,no data,Self Made,Pharmaceuticals,,
1485,Karl Scheufele III,2.1,84.0,Jewelry,Switzerland,Fashion & Retail,Male,Switzerland,Married,no data,no data,Self Made,Jewelry,,
1486,Shen Xiqiang,2.1,75.0,Chemical,China,Energy,Male,China,Married,no data,no data,Self Made,Chemical,,
1487,Timothy Boyle,2.0,73.0,Columbia Sportswear,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,University of Oregon,Self Made,Columbia Sportswear,,
1488,Andrey Andreev,2.0,49.0,Online dating,United Kingdom,Technology,Male,United Kingdom,Single,no data,no data,Self Made,Online dating,,
1489,David Adelman,2.0,51.0,"Real estate, asset management",United States,Real Estate,Male,United States,Married,no data,no data,Self Made,Real estate, asset management,
1490,Thaksin Shinawatra,2.0,74.0,Investments,Thailand,Finance & Investments,Male,Thailand,Divorced,Master of Science,Eastern Kentucky University,Self Made,Investments,,
1491,Pieter van der Does,2.0,54.0,Payments software,Netherlands,Technology,Male,Netherlands,Married,no data,no data,Self Made,Payments software,,
1492,Ion Tiriac,2.0,84.0,"Banking, insurance",Romania,Finance & Investments,Male,Romania,Single,no data,no data,Self Made,Banking, insurance,
1493,Fritz Draexlmaier,2.0,66.0,Auto parts ,Germany,Automotive,Male,Germany,no data,no data,no data,no data,Auto parts ,,
1494,Anita Zucker,2.0,71.0,Chemicals,United States,Manufacturing,Female,United States,Widowed,Bachelor of Arts/Science,University of Florida,no data,Chemicals,,
1495,Wang Zhenghua,2.0,79.0,Budget airline,China,Service,Male,China,no data,no data,no data,Self Made,Budget airline,,
1496,Samuel Chen,2.0,73.0,Investments,Taiwan,Finance & Investments,Male,Taiwan,Married,no data,no data,Self Made,Investments,,
1497,Wu Zhigang,2.0,88.0,Bakery chain,China,Food & Beverage,Male,China,Married,no data,no data,Self Made,Bakery chain,,
1498,Martin Lau,2.0,50.0,E-commerce,Hong Kong,Technology,Male,Hong Kong,no data,Master of Business Administration,Kellogg School of Management,Self Made,E-commerce,,
1499,David Baszucki,2.0,60.0,Online games,United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,Stanford University,Self Made,Online games,,
1500,Heikki Kyostila,2.0,77.0,Dental products,Finland,Healthcare,Male,Finland,no data,no data,no data,Self Made,Dental products,,
1501,Elaine Wynn,2.0,81.0,"Casinos, hotels",United States,Gambling & Casinos,Female,United States,Divorced,Bachelor of Arts/Science,George Washington University,Self Made,Casinos, hotels,
1502,Mohamed Al Fayed,2.0,94.0,"Retail, investments",Egypt,Fashion & Retail,Male,Egypt,Married,no data,no data,Self Made,Retail, investments,
1503,P.P. Reddy,2.0,65.0,Infrastructure,India,Construction & Engineering,Male,India,Married,no data,no data,Self Made,Infrastructure,,
1504,Anthony Wood,2.0,57.0,Roku ,United States,Technology,Male,United States,Married,Bachelor of Science in Engineering,Texas A&M University,Self Made,Roku ,,
1505,William Young,2.0,82.0,Plastics,United States,Manufacturing,Male,United States,Married,Bachelor of Science in Engineering,University of Detroit Mercy,Self Made,Plastics,,
1506,Teresita Sy-Coson,2.0,72.0,Diversified,Philippines,Diversified,Female,Philippines,Widowed,Bachelor of Science,Assumption College,no data,Diversified,,
1507,R. Marcelo Claure,2.0,52.0,Cell phone distribution,United States,Telecom,Male,United States,Married,no data,no data,Self Made,Cell phone distribution,,
1508,T. Denny Sanford,2.0,87.0,"Banking, credit cards",United States,Finance & Investments,Male,United States,Divorced,Bachelor of Arts/Science,University of Minnesota,Self Made,Banking, credit cards,
1509,Wolfgang Leitner,2.0,70.0,Engineering,Austria,Construction & Engineering,Male,Austria,Married,no data,no data,Self Made,Engineering,,
1510,Maria Franca Fissolo,2.0,88.0,"Nutella, chocolates",Italy,Food & Beverage,Female,Italy,Widowed,no data,no data,no data,Nutella, chocolates,
1511,Craig McCaw,2.0,74.0,Telecom,United States,Telecom,Male,United States,Married,Bachelor of Arts/Science,Stanford University,no data,Telecom,,
1512,Dominika Kulczyk,2.0,46.0,Diversified,Poland,Finance & Investments,Female,Poland,Divorced,Master,University of Poznan,no data,Diversified,,
1513,Sun Mengquan,2.0,73.0,Edible oil,China,Food & Beverage,Male,China,no data,no data,no data,Self Made,Edible oil,,
1514,Peter Sondakh,2.0,73.0,Investments,Indonesia,Finance & Investments,Male,Indonesia,Married,no data,no data,Self Made,Investments,,
1515,Daniel Chiu,2.0,62.0,Oil & gas,Hong Kong,Energy,Male,Hong Kong,no data,no data,no data,Self Made,Oil & gas,,
1516,Amy Goldman Fowler,2.0,69.0,Real estate,United States,Real Estate,Female,United States,Married,no data,no data,no data,Real estate,,
1517,Zhao Tao,2.0,57.0,Pharmaceuticals,Singapore,Healthcare,Male,Singapore,Married,Master of Business Administration,Fordham University,no data,Pharmaceuticals,,
1518,Barbara Tyson,2.0,74.0,Food processing,United States,Food & Beverage,Female,United States,Widowed,no data,no data,no data,Food processing,,
1519,Satyanarayan Nuwal,2.0,71.0,Industrial explosives,India,Manufacturing,Male,India,Married,no data,no data,Self Made,Industrial explosives,,
1520,Zhang Wanzhen,2.0,73.0,Electronics components,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Electronics components,,
1521,Shlomo Kramer,2.0,57.0,"Software, investments",Israel,Technology,Male,Israel,no data,no data,no data,Self Made,Software, investments,
1522,Liang Rubo,2.0,40.0,TikTok,China,Technology,Male,China,no data,Bachelor of Science,Nankai University,Self Made,TikTok,,
1523,Katarina Martinson,2.0,42.0,Investments,Sweden,Diversified,Female,Sweden,Married,no data,no data,no data,Investments,,
1524,Lin Chang Su-O,2.0,83.0,Real estate,Taiwan,Real Estate,Female,Taiwan,Widowed,no data,no data,no data,Real estate,,
1525,Simon Nixon,2.0,56.0,Price comparison website,United Kingdom,Technology,Male,United Kingdom,Single,Drop Out,Nottingham University,Self Made,Price comparison website,,
1526,Heloise Pratt,2.0,60.0,"Manufacturing, investment ",Australia,Manufacturing,Female,Australia,Divorced,no data,no data,no data,Manufacturing, investment ,
1527,Qiu Minxiu,2.0,77.0,Semiconductors,China,Technology,Female,China,no data,no data,no data,Self Made,Semiconductors,,
1528,Michael Jordan,2.0,60.0,"Charlotte Hornets, endorsements",United States,Sports,Male,United States,Married,Bachelor of Arts/Science,University of North Carolina,Self Made,Charlotte Hornets, endorsements,
1529,Nicola Bulgari,2.0,82.0,Luxury goods,Italy,Fashion & Retail,Male,Italy,no data,Diploma,High School,no data,Luxury goods,,
1530,Prem Kumar Arora,2.0,84.0,Pharmaceuticals,India,Healthcare,Male,India,Married,no data,no data,no data,Pharmaceuticals,,
1531,Sylvia Stroeher,2.0,68.0,Cosmetics,Germany,Fashion & Retail,Female,Germany,Married,no data,no data,no data,Cosmetics,,
1532,Wang Chou-hsiong,2.0,82.0,Footwear,Taiwan,Manufacturing,Male,Taiwan,Married,Master of Arts/Science,National Central University,Self Made,Footwear,,
1533,Wei Ing-Chou,2.0,70.0,"Food, beverages",Taiwan,Food & Beverage,Male,Taiwan,Married,no data,no data,Self Made,Food, beverages,
1534,Cen Junda,2.0,59.0,Pharmaceuticals,China,Healthcare,Male,China,no data,Doctorate,Zhejiang University,Self Made,Pharmaceuticals,,
1535,Tian Ming,2.0,69.0,Measuring instruments,China,Technology,Male,China,Married,no data,no data,Self Made,Measuring instruments,,
1536,Diane Kemper,2.0,78.0,Real estate,United States,Real Estate,Female,United States,Widowed,no data,no data,no data,Real estate,,
1537,Linda Pritzker,2.0,69.0,"Hotels, investments",United States,Service,Female,United States,Divorced,no data,no data,no data,Hotels, investments,
1538,Kevin Systrom,2.0,39.0,Instagram,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Stanford University,Self Made,Instagram,,
1539,Alex Beard,2.0,56.0,"Mining, commodities",United Kingdom,Metals & Mining,Male,United Kingdom,Married,Master of Science,Oxford University,Self Made,Mining, commodities,
1540,Brett Blundy,2.0,63.0,"Retail, agribusiness",Australia,Fashion & Retail,Male,Australia,Married,no data,no data,Self Made,Retail, agribusiness,
1541,Louis Le Duff,2.0,77.0,Bakeries,France,Food & Beverage,Male,France,Married,no data,no data,Self Made,Bakeries,,
1542,Thomas Kwok,2.0,71.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Married,Bachelor of Engineering,Imperial College London,no data,Real estate,,
1543,Mika Anttonen,2.0,56.0,Oil & gas,Finland,Energy,Male,Finland,Married,no data,no data,Self Made,Oil & gas,,
1544,Bruce Wilson,2.0,77.0,Retailing,Australia,Fashion & Retail,Male,Australia,Widowed,no data,no data,no data,Retailing,,
1544,Alan Wilson,2.0,82.0,Retailing,Australia,Fashion & Retail,Male,Australia,Married,no data,no data,no data,Retailing,,
1544,John Wilson,2.0,85.0,Retailing,Australia,Fashion & Retail,Male,Australia,Married,no data,no data,no data,Retailing,,
1547,Wei Yin-Heng,2.0,64.0,"Food, beverages",Taiwan,Food & Beverage,Male,Taiwan,Married,no data,no data,Self Made,Food, beverages,
1547,Wei Yin-Chun,2.0,66.0,"Food, beverages",Taiwan,Food & Beverage,Male,Taiwan,Married,no data,no data,Self Made,Food, beverages,
1547,Wei Ying-Chiao,2.0,68.0,"Food, beverages",Taiwan,Food & Beverage,Male,Taiwan,Married,no data,no data,Self Made,Food, beverages,
1550,Wichai Thongtang,2.0,76.0,Investments,Thailand,Finance & Investments,Male,Thailand,Widowed,no data,no data,Self Made,Investments,,
1551,Lucy Stitzer,2.0,63.0,Cargill,United States,Food & Beverage,Female,United States,Married,no data,no data,no data,Cargill,,
1551,Alexandra Daitch,2.0,60.0,Cargill,United States,Food & Beverage,Female,United States,no data,no data,no data,no data,Cargill,,
1551,Sarah MacMillan,2.0,69.0,Cargill,United States,Food & Beverage,Female,United States,Divorced,no data,no data,no data,Cargill,,
1554,Jennifer Pritzker,2.0,73.0,"Hotels, investments",United States,Finance & Investments,Female,United States,Divorced,Bachelor of Arts/Science,Loyola University Illinois,no data,Hotels, investments,
1555,Kommer Damen,2.0,79.0,Shipbuilding,Netherlands,Manufacturing,Male,Netherlands,Married,no data,no data,no data,Shipbuilding,,
1556,Dwight Schar,2.0,81.0,"Homebuilding, NFL team",United States,Construction & Engineering,Male,United States,Married,Bachelor of Arts/Science,Ashland University,Self Made,Homebuilding, NFL team,
1557,Saban Cemil Kazanci,2.0,62.0,Energy,Turkey,Energy,Male,Turkey,Married,no data,no data,no data,Energy,,
1558,Chen Lip Keong,2.0,76.0,"Casinos, property, energy",Malaysia,Gambling & Casinos,Male,Malaysia,Married,Medical Doctor,University of Malaya,Self Made,Casinos, property, energy
1559,Surjit Kumar Gupta,2.0,81.0,Electrical equipment,India,Manufacturing,Male,India,Married,no data,no data,no data,Electrical equipment,,
1560,Somsri Lamsam,2.0,66.0,Diversified,Thailand,Diversified,Male,Thailand,no data,no data,no data,no data,Diversified,,
1561,Xu Xudong,2.0,53.0,Auto parts,China,Automotive,Male,China,no data,no data,no data,Self Made,Auto parts,,
1562,Larry Tanenbaum,2.0,78.0,Sports,Canada,Sports,Male,Canada,Married,Bachelor of Science,Cornell University,Self Made,Sports,,
1563,P.V. Krishna Reddy,2.0,54.0,Infrastructure,India,Construction & Engineering,Male,India,Married,no data,no data,Self Made,Infrastructure,,
1564,Richard Kayne,2.0,77.0,Investments,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Stanford University,Self Made,Investments,,
1565,David Fong,1.9,66.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Married,no data,no data,no data,Real estate,,
1566,Clive Palmer,1.9,69.0,Mining,Australia,Metals & Mining,Male,Australia,Married,no data,no data,Self Made,Mining,,
1567,D. Leopoldo Del Pino,1.9,61.0,Construction ,Spain,Construction & Engineering,Male,Spain,no data,Master of Business Administration,INSEAD,no data,Construction ,,
1568,Hao Hong,1.9,67.0,Pharmaceuticals,United States,Healthcare,Male,United States,Married,no data,no data,Self Made,Pharmaceuticals,,
1569,Howard Butt III,1.9,71.0,Supermarkets,United States,Fashion & Retail,Male,United States,Married,no data,no data,no data,Supermarkets,,
1569,Stephen Butt,1.9,68.0,Supermarkets,United States,Fashion & Retail,Male,United States,Married,no data,no data,no data,Supermarkets,,
1571,John Hancock,1.9,47.0,Mining,Australia,Metals & Mining,Male,Australia,Married,Master of Business Administration,University of Notre Dame,no data,Mining,,
1572,Hui Wing Mau,1.9,73.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Married,Master of Business Administration,University of South Australia,Self Made,Real estate,,
1573,Steven Meng Yang,1.9,41.0,Electronics,China,Technology,Male,China,Married,Bachelor of Arts/Science,Peking University,Self Made,Electronics,,
1574,Thomas Wu,1.9,73.0,Finance,Taiwan,Finance & Investments,Male,Taiwan,Married,Bachelor of Arts/Science,Fu Jen Catholic University,no data,Finance,,
1575,Huang Shan,1.9,53.0,Software,China,Technology,Male,China,no data,Bachelor of Science,Wuhan University,Self Made,Software,,
1576,Phillip Frost,1.9,86.0,Pharmaceuticals,United States,Healthcare,Male,United States,Married,Bachelor of Arts/Science,University of Pennsylvania,Self Made,Pharmaceuticals,,
1577,David Blitzer,1.9,53.0,Sports,United States,Sports,Male,United States,Married,The Wharton School at the University of Pennsylvania,The Wharton School at the University of Pennsylvania,Self Made,Sports,,
1578,Zygmunt Solorz-Zak,1.9,67.0,TV broadcasting,Poland,Media & Entertainment,Male,Poland,Divorced,no data,no data,Self Made,TV broadcasting,,
1579,Zhang Jingzhang,1.9,87.0,Precision machinery,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Precision machinery,,
1580,Douglas Hsu,1.9,80.0,Diversified,Taiwan,Diversified,Male,Taiwan,Married,Bachelor of Arts/Science,Notre Dame University,no data,Diversified,,
1581,Liang Zhaoxian,1.9,58.0,Appliances,China,Manufacturing,Male,China,no data,Bachelor of Arts/Science,South China University of Technology,no data,Appliances,,
1581,Dou Zhenggang,1.9,70.0,"Energy, chemicals",China,Diversified,Male,China,no data,no data,no data,Self Made,Energy, chemicals,
1583,Ginia Rinehart,1.9,36.0,Mining,Australia,Metals & Mining,Female,Australia,Married,no data,no data,no data,Mining,,
1584,Zhang Fan,1.9,57.0,Touch screens,China,Technology,Male,China,no data,no data,no data,Self Made,Touch screens,,
1585,Lin Fanlian,1.9,62.0,"Energy, real estate",China,Energy,Male,China,no data,no data,no data,Self Made,Energy, real estate,
1586,Hamdi Ulukaya,1.9,50.0,Greek yogurt,Turkey,Food & Beverage,Male,Turkey,Married,Master of Business Administration,SUNY Albany,Self Made,Greek yogurt,,
1587,Balkrishan Goenka,1.9,57.0,Textiles,India,Manufacturing,Male,India,Married,no data,no data,Self Made,Textiles,,
1588,Pierre Karl PÃ©ladeau,1.9,61.0,Media,Canada,Media & Entertainment,Male,Canada,In Relationship,no data,no data,no data,Media,,
1589,B. Wayne Hughes Jr,1.9,64.0,Storage facilities,United States,Real Estate,Male,United States,Married,Bachelor of Arts/Science,University of Southern California,no data,Storage facilities,,
1590,Hope Welker,1.9,38.0,Mining,Australia,Metals & Mining,Female,Australia,Divorced,no data,no data,no data,Mining,,
1590,Bianca Rinehart,1.9,46.0,Mining,Australia,Metals & Mining,Female,Australia,Married,no data,no data,no data,Mining,,
1592,Mario Germano Giuliani,1.9,51.0,Pharmaceuticals,Switzerland,Healthcare,Male,Switzerland,Married,Bachelor of Arts/Economics,Catholic University of the Sacred Heart,no data,Pharmaceuticals,,
1593,Huijiao Yu,1.9,57.0,Package delivery,China,Logistics,Male,China,Married,no data,no data,Self Made,Package delivery,,
1594,Gavril Yushvaev,1.9,66.0,"Precious metals, real estate",Russia,Finance & Investments,Male,Russia,Married,no data,no data,Self Made,Precious metals, real estate,
1595,Alan Trefler,1.9,67.0,Software,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Dartmouth College,Self Made,Software,,
1596,G. Rajendran,1.9,80.0,Jewellery,India,Fashion & Retail,Male,India,Married,no data,no data,Self Made,Jewellery,,
1597,Phongthep Chiaravanont,1.9,71.0,Diversified,Thailand,Diversified,Male,Thailand,no data,Master of Science,University of California,no data,Diversified,,
1598,Oei Hong Leong,1.9,75.0,Investments,Singapore,Finance & Investments,Male,Singapore,Married,no data,no data,no data,Investments,,
1599,Larry Robbins,1.9,53.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,The Wharton School,Self Made,Hedge funds,,
1600,Zugen Ni,1.9,66.0,Appliances,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Appliances,,
1601,Bill Malhotra,1.9,73.0,Real estate,Canada,Real Estate,Male,Canada,Married,Bachelor of Engineering,Birla Institute of Technology and Science (BITS) - Pilani,Self Made,Real estate,,
1602,Wang Chaobin,1.9,67.0,Real estate,China,Real Estate,Male,China,no data,no data,no data,Self Made,Real estate,,
1602,Mark Davis,1.9,68.0,Las Vegas Raiders,United States,Sports,Male,United States,no data,Diploma,California State Chico,no data,Las Vegas Raiders,,
1604,Guilherme Benchimol,1.9,47.0,financial services,Brazil,Finance & Investments,Male,Brazil,Single,Bachelor of Arts/Economics,Universidade Federal do Rio de Janeiro,Self Made,financial services,,
1605,Francois Feuillet,1.9,74.0,"Motorhomes, RVs",France,Automotive,Male,France,Married,no data,no data,no data,Motorhomes, RVs,
1606,Alfredo Egydio Arruda Villela Filho,1.9,53.0,Banking,Brazil,Finance & Investments,Male,Brazil,Married,Master of Business Administration,Fundacao Getulio Vargas,no data,Banking,,
1607,Xie Bingkun,1.9,56.0,Pearlescent pigments,China,Fashion & Retail,Male,China,Married,no data,no data,Self Made,Pearlescent pigments,,
1608,Solomon Lew,1.9,78.0,Retail,Australia,Fashion & Retail,Male,Australia,Married,no data,no data,Self Made,Retail,,
1609,Tim Cook,1.9,62.0,Apple,United States,Technology,Male,United States,no data,Master of Business Administration,Fuqua School of Business,Self Made,Apple,,
1610,Jayme Garfinkel,1.9,77.0,Insurance,Brazil,Finance & Investments,Male,Brazil,Divorced,Master of Business Administration,Fundacao Getulio Vargas,no data,Insurance,,
1611,William Li,1.9,48.0,Electric vehicles,China,Automotive,Male,China,no data,Bachelor of Social Sciences,Peking University,Self Made,Electric vehicles,,
1612,Robert Miller,1.9,90.0,Retail,United Kingdom,Fashion & Retail,Male,United Kingdom,Married,Bachelor of Arts/Science,Cornell University,Self Made,Retail,,
1613,James Dinan,1.9,64.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard University,Self Made,Hedge funds,,
1614,Jim Thompson,1.9,83.0,Logistics ,United States,Logistics,Male,United States,Married,Bachelor of Arts/Science,San Jose State University,Self Made,Logistics ,,
1615,Manas Chiaravanond,1.9,66.0,Diversified,Thailand,Diversified,Male,Thailand,no data,no data,no data,no data,Diversified,,
1616,Ana Lucia de Mattos Barretto Villela,1.9,49.0,Banking,Brazil,Finance & Investments,Female,Brazil,Married,no data,no data,no data,Banking,,
1617,David Lichtenstein,1.9,61.0,Real estate,United States,Real Estate,Male,United States,Married,no data,no data,Self Made,Real estate,,
1618,Wang Linpeng,1.9,55.0,Furniture retailing,China,Construction & Engineering,Male,China,no data,no data,no data,Self Made,Furniture retailing,,
1619,Alejandro Bulgheroni,1.9,78.0,Oil & gas,Argentina,Energy,Male,Argentina,Married,no data,no data,no data,Oil & gas,,
1620,Scott Kapnick,1.9,64.0,Private equity,United States,Finance & Investments,Male,United States,no data,Doctor of Jurisprudence,The University of Chicago,Self Made,Private equity,,
1621,Wang Ren-sheng,1.9,91.0,Retail,Taiwan,Fashion & Retail,Male,Taiwan,Married,no data,National Taitung University,Self Made,Retail,,
1622,Prathip Chiravanond,1.9,74.0,Diversified,Thailand,Diversified,Male,Thailand,Married,no data,no data,no data,Diversified,,
1623,Paul Saville,1.9,67.0,Homebuilder ,United States,Real Estate,Male,United States,no data,Bachelor of Arts/Science,The College of William & Mary,Self Made,Homebuilder ,,
1624,Chang Jianming,1.9,58.0,Industrial equipment,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Industrial equipment,,
1625,Chen Qiongxiang,1.9,66.0,Batteries,China,Energy,Female,China,no data,no data,no data,Self Made,Batteries,,
1626,Lai Shixian,1.9,48.0,Sports apparel,China,Fashion & Retail,Male,China,Married,EMBA,China Europe International Business School,Self Made,Sports apparel,,
1627,Vardis Vardinoyannis,1.9,90.0,Oil and gas,Greece,Energy,Male,Greece,no data,no data,no data,Self Made,Oil and gas,,
1628,Roberto Angelini Rossi,1.9,75.0,"Forestry, mining",Chile,Diversified,Male,Chile,Married,Bachelor of Arts/Science,Pontificia Universidad de Chile,no data,Forestry, mining,
1629,Shi Wen-long,1.9,95.0,Plastics,Taiwan,Manufacturing,Male,Taiwan,Married,no data,no data,Self Made,Plastics,,
1630,Amy Wyss,1.8,52.0,Medical equipment,United States,Healthcare,Female,United States,no data,Bachelor of Arts/Science,Skidmore College,no data,Medical equipment,,
1631,Palmer Luckey,1.8,30.0,Virtual reality,United States,Technology,Male,United States,Single,Drop Out,Long Beach,Self Made,Virtual reality,,
1632,Ralph Dommermuth,1.8,59.0,Internet service provider,Germany,Technology,Male,Germany,Married,no data,no data,Self Made,Internet service provider,,
1633,Hongyi Zhou,1.8,52.0,Security software,China,Technology,Male,China,Married,Bachelor of Science,Xi'an Jiaotong University,Self Made,Security software,,
1634,Jared Isaacman,1.8,40.0,Payment processing,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Embry-Riddle Aeronautical University,Self Made,Payment processing,,
1635,Zhou Jian,1.8,47.0,Solar energy equipment,China,Energy,Male,China,no data,no data,no data,Self Made,Solar energy equipment,,
1636,Roberto Hernandez Ramirez,1.8,81.0,"Banking, investments",Mexico,Finance & Investments,Male,Mexico,Married,Bachelor of Arts/Science,Ibero-American University,Self Made,Banking, investments,
1637,Alexander Karp,1.8,55.0,Software firm,United States,Technology,Male,United States,Single,Bachelor of Arts/Science,Haverford College,Self Made,Software firm,,
1638,Gang Ye,1.8,43.0,Gaming,Singapore,Media & Entertainment,Male,Singapore,Married,Bachelor of Science,Carnegie Mellon,Self Made,Gaming,,
1639,Martin Viessmann,1.8,69.0,Heating and cooling equipment,Germany,Manufacturing,Male,Germany,Married,Diploma,University of Erlangen,no data,Heating and cooling equipment,,
1640,Wang Wenmo,1.8,66.0,Sports apparel,China,Fashion & Retail,Male,China,no data,no data,no data,Self Made,Sports apparel,,
1641,Joe Lacob,1.8,67.0,Golden State Warriors,United States,Sports,Male,United States,Married,Master of Business Administration,Stanford University,Self Made,Golden State Warriors,,
1642,Mrudula Parekh,1.8,75.0,Adhesives,India,Manufacturing,Female,India,Widowed,no data,no data,no data,Adhesives,,
1643,Todd Wagner,1.8,63.0,Online media,United States,Media & Entertainment,Male,United States,Married,Bachelor of Arts/Science,Indiana University,Self Made,Online media,,
1644,Anatoly Sedykh,1.8,58.0,Steel pipes,Russia,Metals & Mining,Male,Russia,Married,Master of Science in Engineering,Moscow Institute of Steel and Alloys,Self Made,Steel pipes,,
1645,Jose Roberto Marinho,1.8,67.0,Media,Brazil,Media & Entertainment,Male,Brazil,Married,no data,no data,no data,Media,,
1645,Joao Roberto Marinho,1.8,69.0,Media,Brazil,Media & Entertainment,Male,Brazil,Married,no data,no data,no data,Media,,
1647,Spiro Latsis,1.8,77.0,"Banking, shipping",Greece,Diversified,Male,Greece,Married,Bachelor of Arts/Economics,London School of Economics,no data,Banking, shipping,
1648,Otto Toto Sugiri,1.8,69.0,Data centers,Indonesia,Technology,Male,Indonesia,Married,Master of Science in Engineering,Rheinisch-WestfÃ¤lische Technische Hochschule,Self Made,Data centers,,
1649,Jay Hennick,1.8,66.0,Real estate finance,Canada,Finance & Investments,Male,Canada,Married,LLB,University of Ottawa,Self Made,Real estate finance,,
1650,Cameron Adams,1.8,43.0,Software,Australia,Technology,Male,Australia,Married,Bachelor of Law,University of Melbourne,Self Made,Software,,
1651,Li Guoqiang,1.8,59.0,Auto dealerships,China,Automotive,Male,China,Married,no data,no data,Self Made,Auto dealerships,,
1652,Will Adderley,1.8,51.0,Home furnishings,United Kingdom,Fashion & Retail,Male,United Kingdom,no data,no data,no data,no data,Home furnishings,,
1653,Nikolai Buinov,1.8,56.0,"Oil, gas",Russia,Energy,Male,Russia,Married,Master of Science in Engineering,Leningrad Institute of Railway Engineers,Self Made,Oil, gas,
1654,Sabrina Benetton,1.8,49.0,"Fashion retail, investments",Italy,Fashion & Retail,Female,Italy,Married,no data,no data,no data,Fashion retail, investments,
1655,Long Jiang,1.8,49.0,Manufacturing,China,Technology,Male,China,no data,Master of Arts,Renmin University of China,Self Made,Manufacturing,,
1656,Alan Zekelman,1.8,60.0,Steel,Canada,Manufacturing,Male,Canada,no data,Master of Science,University of Rochester,no data,Steel,,
1657,Charlotte Colket Weber,1.8,80.0,Campbell Soup,United States,Food & Beverage,Female,United States,Divorced,Bachelor of Arts/Science,University of Paris,no data,Campbell Soup,,
1658,Roberto Irineu Marinho,1.8,75.0,Media,Brazil,Media & Entertainment,Male,Brazil,Married,no data,no data,no data,Media,,
1659,Ning Wang,1.8,36.0,Toys,China,Media & Entertainment,Male,China,Married,no data,no data,Self Made,Toys,,
1660,Brian Higgins,1.8,58.0,Hedge funds,United States,Finance & Investments,Male,United States,no data,Bachelor of Arts/Science,Villanova University,Self Made,Hedge funds,,
1660,Parker Conrad,1.8,43.0,Software,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Harvard University,Self Made,Software,,
1660,Nikil Viswanathan,1.8,35.0,Blockchain technology,United States,Technology,Male,United States,Single,Bachelor of Arts/Science,Stanford,Self Made,Blockchain technology,,
1660,Joe Lau,1.8,34.0,"Blockchain, technology ",United States,Technology,Male,United States,Single,Bachelor of Arts/Science,Stanford,Self Made,Blockchain, technology ,
1660,O. Francis Biondi,1.8,59.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard Business School,Self Made,Hedge funds,,
1665,Christopher Goldsbury,1.8,80.0,Salsa,United States,Food & Beverage,Male,United States,Married,Bachelor of Arts/Science,Trinity University,no data,Salsa,,
1666,Faruk Eczacibasi,1.8,69.0,"Pharmaceuticals, diversified",Turkey,Diversified,Male,Turkey,Married,no data,no data,no data,Pharmaceuticals, diversified,
1667,Alice Schwartz,1.8,97.0,Biotech,United States,Healthcare,Female,United States,Widowed,Bachelor of Arts/Science,University of California,Self Made,Biotech,,
1668,Binod Chaudhary,1.8,68.0,Diversified,Nepal,Diversified,Male,Nepal,Married,no data,no data,no data,Diversified,,
1669,Maike Oberwelland-Height,1.8,66.0,Candy,Germany,Food & Beverage,Female,Germany,Married,no data,no data,no data,Candy,,
1670,Elizabeth Sy,1.8,71.0,Diversified ,Philippines,Diversified,Female,Philippines,no data,Bachelor of Business Administration,Maryknoll College,no data,Diversified ,,
1671,Valentin Kipyatkov,1.8,47.0,Software,Cyprus,Technology,Male,Cyprus,Married,Master of Science,Saint Petersburg State University,Self Made,Software,,
1672,Lee Yeow Seng,1.8,45.0,"Palm oil, property",Malaysia,Real Estate,Male,Malaysia,no data,LLB,Kings College London,no data,Palm oil, property,
1673,Aloke Lohia,1.8,64.0,Petrochemicals,India,Manufacturing,Male,India,Married,no data,no data,no data,Petrochemicals,,
1674,Gary Michelson,1.8,74.0,Medical patents,United States,Healthcare,Male,United States,Married,Medical Doctor,Hahnemann Medical College,Self Made,Medical patents,,
