rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
65,Jack Ma,24.4,58.0,E-commerce,China,Technology,Male,China,Married,Bachelor of Arts/Science,Hangzhou Teacher's Institute,Self Made,E-commerce,,
66,Susanne Klatten,24.1,61.0,"BMW, pharmaceuticals",Germany,Automotive,Female,Germany,Married,Master of Business Administration,International Institute for Management and Development,no data,BMW, pharmaceuticals,
67,Vladimir Potanin,23.7,62.0,Metals,Russia,Metals & Mining,Male,Russia,Married,Masters in Finance,Moscow Institute of International Relations,Self Made,Metals,,
68,Emmanuel Besnier,23.4,52.0,Cheese,France,Food & Beverage,Male,France,no data,no data,no data,no data,Cheese,,
69,Lukas Walton,23.4,36.0,Walmart ,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,Colorado College,no data,Walmart ,,
70,He Xiangjian,23.4,81.0,Home appliances,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Home appliances,,
71,Iris Fontbona,22.7,80.0,Mining,Chile,Metals & Mining,Female,Chile,Widowed,no data,no data,no data,Mining,,
72,Daniel Gilbert,22.4,61.0,Quicken Loans,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Michigan State University,Self Made,Quicken Loans,,
73,Abigail Johnson,22.1,61.0,Fidelity,United States,Finance & Investments,Female,United States,Married,Master of Business Administration,Harvard Business School,no data,Fidelity,,
74,Vladimir Lisin,22.1,67.0,"Steel, transport",Russia,Metals & Mining,Male,Russia,Married,Doctorate,Russian Academy of Economics,Self Made,Steel, transport,
75,James Ratcliffe,22.0,70.0,Chemicals,United Kingdom,Manufacturing,Male,United Kingdom,Married,no data,no data,Self Made,Chemicals,,
76,Thomas Frist Jr,21.9,85.0,Hospitals,United States,Healthcare,Male,United States,Married,Bachelor of Arts/Science,Vanderbilt University,Self Made,Hospitals,,
77,Leonid Mikhelson,21.6,68.0,"Gas, chemicals",Russia,Energy,Male,Russia,Married,Master of Science in Engineering,Kuybyshev Engineering and Construction Institute,Self Made,Gas, chemicals,
78,Eric Schmidt,21.2,68.0,Google,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Princeton University,Self Made,Google,,
79,Savitri Jindal,20.6,73.0,Steel,India,Metals & Mining,Female,India,Widowed,no data,no data,no data,Steel,,
80,Alexey Mordashov,20.6,57.0,"Steel, investments",Russia,Metals & Mining,Male,Russia,Married,Master of Science in Engineering,Leningrad Institute of Economics,Self Made,Steel, investments,
81,Vagit Alekperov,20.5,72.0,Oil,Russia,Energy,Male,Russia,Married,Master of Science in Engineering,Azerbaijan Institute of Oil and Chemistry,Self Made,Oil,,
82,John Menard Jr,19.8,83.0,Home improvement stores,United States,Fashion & Retail,Male,United States,Married,Bachelor of Arts/Science,University of Wisconsin,Self Made,Home improvement stores,,
83,Eyal Ofer,19.6,73.0,"Real estate, shipping",Israel,Diversified,Male,Israel,Married,no data,no data,no data,Real estate, shipping,
84,Takemitsu Takizaki,19.3,78.0,Sensors,Japan,Manufacturing,Male,Japan,Married,no data,no data,Self Made,Sensors,,
85,Ray Dalio,19.1,74.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard Business School,Self Made,Hedge funds,,
86,Rick Cohen,18.9,71.0,Warehouse automation,United States,Technology,Male,United States,Married,no data,no data,no data,Warehouse automation,,
87,Andrew Forrest,18.6,61.0,Mining,Australia,Metals & Mining,Male,Australia,Separated,Bachelor of Arts/Science,University of Western Australia,Self Made,Mining,,
88,Wang Wei,18.6,52.0,Package delivery,China,Service,Male,China,no data,no data,no data,Self Made,Package delivery,,
